Comment[SystematicName]	Comment[GENE_SYMBOL]	Comment[GENE_NAME]	Comment[CYTOBAND]
ENST00000545414	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	hs|21q22.3
TCONS_00007229	XLOC_003211		hs|3q13.13
AK095730			hs|1p34.1
NM_016155	MMP17	matrix metallopeptidase 17 (membrane-inserted)	hs|12q24.33
NM_004132	HABP2	hyaluronan binding protein 2	hs|10q25.3
ENST00000456335	XLOC_003093		hs|3p22.1
NM_005345	HSPA1A	heat shock 70kDa protein 1A	hs|6p21.33
A_32_P157213			hs|19q13.31
AK126997	LOC100130430	uncharacterized LOC100130430	hs|16p13.3
BC040593	LOC340340	uncharacterized LOC340340	hs|7q22.3
NM_002799	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	hs|9q33.3
NM_030622	CYP2S1	cytochrome P450, family 2, subfamily S, polypeptide 1	hs|19q13.2
ERCC-00012_90			
EF011069			
NM_004752	GCM2	glial cells missing homolog 2 (Drosophila)	hs|6p24.2
THC2665248	XLOC_012457		
NM_001077351	RBM23	RNA binding motif protein 23	hs|14q11.2
NM_153320	SLC22A7	solute carrier family 22 (organic anion transporter), member 7	hs|6p21.1
NM_001862	COX5B	cytochrome c oxidase subunit Vb	hs|2q11.2
NM_006824	EBNA1BP2	EBNA1 binding protein 2	hs|1p34.2
NM_002982	CCL2	chemokine (C-C motif) ligand 2	hs|17q12
NM_000375	UROS	uroporphyrinogen III synthase	hs|10q26.13
DQ516784			
TCONS_00000424	XLOC_000625		hs|1q42.3
TCONS_00015918	XLOC_007281		hs|9p23
THC2512099	XLOC_011510		hs|15q22.32
ENST00000446206	XLOC_007819		hs|9q31.2
AK125770	XLOC_009948		hs|12q24.32
3xSLv1			
NM_016308	CMPK1	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic	hs|1p33
BC021693			hs|2q33.1
NM_016639	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	hs|16p13.3
ENST00000447500	XLOC_l2_000727		hs|1p36.33
NM_001032293	ZNF207	zinc finger protein 207	hs|17q11.2
NM_000918	P4HB	prolyl 4-hydroxylase, beta polypeptide	hs|17q25.3
AK125754	IGFL2	IGF-like family member 2	hs|19q13.32
NM_020195	SDR39U1	short chain dehydrogenase/reductase family 39U, member 1	hs|14q12
NM_003404	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	hs|20q13.12
NM_005924	MEOX2	mesenchyme homeobox 2	hs|7p21.2
ENST00000409736	SCLY	selenocysteine lyase	hs|2q37.3
THC2650459	Q7VLF4		hs|20q13.33
TCONS_00002226	XLOC_000545		hs|1q32.2
AF036272	SH3GL3	SH3-domain GRB2-like 3	hs|4p11
NM_016227	C1orf9	chromosome 1 open reading frame 9	hs|1q24.3
NR_036753	ZNF847P	zinc finger protein 847, pseudogene	hs|1q42.13
NM_018466	ALG13	asparagine-linked glycosylation 13 homolog (S. cerevisiae)	hs|Xq23
TCONS_00004878	XLOC_001641		hs|2q14.2
NM_021064	HIST1H2AG	histone cluster 1, H2ag	hs|6p22.1
ENST00000454625	XLOC_008221		hs|Xq24
NM_022789	IL25	interleukin 25	hs|14q11.2
NM_017413	APLN	apelin	hs|Xq26.1
XR_109037	LOC100507109	uncharacterized LOC100507109	hs|11p13
NM_030810	TXNDC5	thioredoxin domain containing 5 (endoplasmic reticulum)	hs|6p24.3
ENST00000458645	XLOC_l2_014077		hs|7q36.3
DarkCorner			
DarkCorner			
DarkCorner			
NM_000791	DHFR	dihydrofolate reductase	hs|5q14.1
NM_145212	MRPL30	mitochondrial ribosomal protein L30	hs|2q11.2
ENST00000519496	TBC1D3	TBC1 domain family, member 3	hs|17q12
DQ854997			
NM_014656	KIAA0040	KIAA0040	hs|1q25.1
NM_000015	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	hs|8p22
NR_024582	JPX		hs|Xq13.2
NM_004231	ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	hs|7q32.1
ENST00000393946	SYT12	synaptotagmin XII	hs|11q13.2
ENST00000507969	ADAM29	ADAM metallopeptidase domain 29	hs|4q34.1
TCONS_00000840	XLOC_000055		hs|1p36.22
ENST00000454492	XLOC_008989		hs|10q26.2
NM_152219	GJD3	gap junction protein, delta 3, 31.9kDa	hs|17q21.2
NM_006937	SUMO2	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	hs|17q25.1
NM_000527	LDLR	low density lipoprotein receptor	hs|19p13.2
ERCC-00077_121			
XR_132706	LOC100507630	uncharacterized LOC100507630	hs|2p23.3
AK024188			hs|2p24.1
3xSLv1			
TCONS_00026277	XLOC_012625		hs|18p11.21
NM_003874	CD84	CD84 molecule	hs|1q23.3
ENST00000396049	MOB1A	MOB kinase activator 1A	hs|2p13.1
ENST00000423738	XLOC_l2_015578		hs|Xq22.1
NM_002945	RPA1	replication protein A1, 70kDa	hs|17p13.3
NM_172200	IL15RA	interleukin 15 receptor, alpha	hs|10p15.1
NR_003367	PVT1		hs|8q24.21
NM_005646	TARBP1	TAR (HIV-1) RNA binding protein 1	hs|1q42.2
TCONS_00021370	XLOC_010135		hs|12q21.2
ENST00000435946	XLOC_l2_012605		hs|6q13
NM_014652	IPO13	importin 13	hs|1p34.1
NM_002982	CCL2	chemokine (C-C motif) ligand 2	hs|17q12
TCONS_00024467	XLOC_011789		hs|16q23.1
NM_024809	TCTN2	tectonic family member 2	hs|12q24.31
NM_006419	CXCL13	chemokine (C-X-C motif) ligand 13	hs|4q21.1
DQ516776			
NM_145052	UPRT	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)	hs|Xq13.3
THC2523617	Q59GX9		hs|6q22.33
TCONS_00023094	XLOC_010996		hs|14q13.3
ENST00000437610	XLOC_001947		hs|2p25.3
NM_001145020	C6orf52	chromosome 6 open reading frame 52	hs|6p24.2
ENST00000513207	XLOC_l2_002729		hs|11q14.1
XM_003118689	LOC400499	uncharacterized LOC400499	hs|16p13.13
NM_001243729	C3orf55	chromosome 3 open reading frame 55	hs|3q25.32
NM_153708	RTP1	receptor (chemosensory) transporter protein 1	hs|3q27.3
NM_006987	RPH3AL	rabphilin 3A-like (without C2 domains)	hs|17p13.3
NM_018337	ZNF444	zinc finger protein 444	hs|19q13.43
AK058136	1/2-SBSRNA4	lncRNA_BC009800	hs|4q25
DQ459412			
DQ516740			
NR_024496	LOC442421	uncharacterized LOC442421	hs|9q13
NM_015886	PI15	peptidase inhibitor 15	hs|8q21.11
NM_203451	SERTM1	serine-rich and transmembrane domain containing 1	hs|13q13.3
NM_001226	CASP6	caspase 6, apoptosis-related cysteine peptidase	hs|4q25
NM_207308	NUP210L	nucleoporin 210kDa-like	hs|1q21.3
NM_001098623	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	hs|1q42.13
NM_000927	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	hs|7q21.12
NM_147128	ZNRF2	zinc and ring finger 2	hs|7p14.3
ENST00000378921	ZC3H13	zinc finger CCCH-type containing 13	hs|13q14.13
NM_153186	KANK1	KN motif and ankyrin repeat domains 1	hs|9p24.3
NR_034024	LINC00347	long intergenic non-protein coding RNA 347	hs|13q22.1
NM_004901	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	hs|8p21.3
NR_002710	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	hs|17p13.1
NM_001634	AMD1	adenosylmethionine decarboxylase 1	hs|6q21
NM_006367	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	hs|1p34.2
DQ855001			
NM_173084	TRIM59	tripartite motif containing 59	hs|3q25.33
NM_002828	PTPN2	protein tyrosine phosphatase, non-receptor type 2	hs|18p11.21
NM_001005353	AK4	adenylate kinase 4	hs|1p31.3
NM_012079	DGAT1	diacylglycerol O-acyltransferase 1	hs|8q24.3
NM_001537	HSBP1	heat shock factor binding protein 1	hs|16q23.3
ENST00000433460	XLOC_008745		hs|10p12.31
TCONS_00010581	XLOC_005110		hs|5q35.3
ENST00000424786	XLOC_002612		hs|3p22.3
NM_178509	STXBP4	syntaxin binding protein 4	hs|17q22
NM_007108	TCEB2	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	hs|16p13.3
NM_001494	GDI2	GDP dissociation inhibitor 2	hs|10p15.1
NM_178150	FBXO18	F-box protein, helicase, 18	hs|10p15.1
ENST00000422600	XLOC_002217		hs|2q11.2
NM_024816	RABEP2	rabaptin, RAB GTPase binding effector protein 2	hs|16p11.2
NM_015315	LARP1	La ribonucleoprotein domain family, member 1	hs|5q33.2
NM_052956	ACSM1	acyl-CoA synthetase medium-chain family member 1	hs|16p12.3
NM_182633	ZNF713	zinc finger protein 713	hs|7p11.2
NM_198989	DLEU7	deleted in lymphocytic leukemia, 7	hs|13q14.3
NM_018164	C12orf11	chromosome 12 open reading frame 11	hs|12p11.23
NM_001193621	LOC390940	uncharacterized protein ENSP00000244321	hs|19q13.31
NM_001164446	C6orf132	chromosome 6 open reading frame 132	hs|6p21.1
NM_152449	LYSMD4	LysM, putative peptidoglycan-binding, domain containing 4	hs|15q26.3
XR_110323	LOC100507498	uncharacterized LOC100507498	hs|12q21.2
DQ516795			
DQ883656			
DQ516731			
ENST00000538098	WDR74	WD repeat domain 74	hs|11q12.3
TCONS_00008533	XLOC_004023		hs|4q23
NM_015278	SASH1	SAM and SH3 domain containing 1	hs|6q24.3
NM_001194986	LOC388630	UPF0632 protein A	hs|1p33
DQ516790			
NM_000174	GP9	glycoprotein IX (platelet)	hs|3q21.3
NM_025222	WDR82	WD repeat domain 82	hs|3p21.2
TCONS_00016469	XLOC_007835		hs|9q33.1
NM_005966	NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	hs|2q32.2
NR_024399	MGC23284	uncharacterized LOC197187	hs|16q24.3
3xSLv1			
NM_000962	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	hs|9q33.2
NM_021197	WFDC1	WAP four-disulfide core domain 1	hs|16q24.1
NM_003049	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	hs|14q24.2
BC017346	TRIM36	tripartite motif containing 36	hs|5q22.3
NM_007331	WHSC1	Wolf-Hirschhorn syndrome candidate 1	hs|4p16.3
ENST00000424953	XLOC_l2_000267		hs|1p31.1
NM_002809	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	hs|17q21.1
TCONS_00006200	XLOC_002796		hs|3q21.3
NM_002717	PPP2R2A	protein phosphatase 2, regulatory subunit B, alpha	hs|8p21.2
ENST00000422996	XLOC_001992		hs|2p24.3
ENST00000420186	XLOC_l2_009180		hs|21q21.3
NM_006939	SOS2	son of sevenless homolog 2 (Drosophila)	hs|14q21.3
THC2654585	XLOC_011545		hs|15q25.1
NM_001145261	NCOA4	nuclear receptor coactivator 4	hs|10q11.23
DQ854997			
NM_002649	PIK3CG	phosphoinositide-3-kinase, catalytic, gamma polypeptide	hs|7q22.3
TCONS_00016042	XLOC_007438		hs|9q21.33
TCONS_00011923	XLOC_005433		hs|6q21
ENST00000509069	ZNF331	zinc finger protein 331	hs|19q13.42
ENST00000514661	XLOC_004426		hs|5q13.2
NM_002262	KLRD1	killer cell lectin-like receptor subfamily D, member 1	hs|12p13.2
NM_001166006	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	hs|1p35.3
TCONS_00023717	XLOC_011515		hs|15q23
NM_003283	TNNT1	troponin T type 1 (skeletal, slow)	hs|19q13.42
BC039402	TMEM221	transmembrane protein 221	hs|19p13.11
BC043541	LOC339539	uncharacterized LOC339539	hs|1p34.2
NM_015411	SUMF2	sulfatase modifying factor 2	hs|7p11.2
NM_178040	ERC1	ELKS/RAB6-interacting/CAST family member 1	hs|12p13.33
ENST00000335589	FUT10	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	hs|8p12
NM_004096	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	hs|10q22.1
TCONS_00019270	XLOC_009100		hs|11p14.1
NM_001001938	C9orf47	chromosome 9 open reading frame 47	hs|9q22.1
NM_032735	BEST3	bestrophin 3	hs|12q15
NM_005164	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	hs|12q12
NM_001005476	PKP4	plakophilin 4	hs|2q24.1
XM_001725877			hs|9q33.2
TCONS_00008217	XLOC_003679		hs|4q28.1
BC006530			hs|15q24.2
ERCC-00077_121			
NM_016038	SBDS	Shwachman-Bodian-Diamond syndrome	hs|7q11.21
ENST00000420522	XLOC_000035		hs|1p36.32
THC2773189			hs|3q24
NM_001099670	C8orf59	chromosome 8 open reading frame 59	hs|8q21.2
TCONS_00006129	XLOC_002731		hs|3q11.2
TCONS_00025505	XLOC_012317		hs|17q25.3
NR_033407	CTSL1P2	cathepsin L1 pseudogene 2	hs|10q11.22
NM_003519	HIST1H2BL	histone cluster 1, H2bl	hs|6p22.1
DQ883659			
NR_040039	LOC157273	uncharacterized LOC157273	hs|8p23.1
NM_018700	TRIM36	tripartite motif containing 36	hs|5q22.3
NM_005119	THRAP3	thyroid hormone receptor associated protein 3	hs|3p23
NM_001079673	FNDC3A	fibronectin type III domain containing 3A	hs|13q14.2
NM_001773	CD34	CD34 molecule	hs|1q32.2
A_33_P3242416			hs|1q41
ERCC-00075_180			
AK123308			hs|5p14.3
ENST00000418025			hs|2q37.1
A_33_P3399778			hs|2q32.3
A_24_P246692			hs|7q33
DarkCorner			
DarkCorner			
DarkCorner			
BC015129	XLOC_007205		hs|8q24.13
NM_003810	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	hs|3q26.31
NM_001891	CSN2	casein beta	hs|4q13.3
NM_016098	BRP44L	brain protein 44-like	hs|6q27
NM_198944	OR7C1	olfactory receptor, family 7, subfamily C, member 1	hs|19p13.12
NM_006099	PIAS3	protein inhibitor of activated STAT, 3	hs|1q21.1
BX538202	XLOC_l2_007543		hs|2q14.3
NM_006781	C6orf10	chromosome 6 open reading frame 10	hs|6p21.32
ENST00000335730	LOXHD1	lipoxygenase homology domains 1	hs|18q21.1
A_24_P458252			hs|10q11.21
NR_026575	GK3P	glycerol kinase 3 pseudogene	hs|4q32.3
ENST00000418972	XLOC_003016		hs|3p26.3
NM_001242837	AP2A2	adaptor-related protein complex 2, alpha 2 subunit	hs|11p15.5
NM_001206670	PLA2G4E	phospholipase A2, group IVE	hs|15q15.1
NM_012393	PFAS	phosphoribosylformylglycinamidine synthase	hs|17p13.1
NM_013377	PDZRN4	PDZ domain containing ring finger 4	hs|12q12
NM_025238	BTBD1	BTB (POZ) domain containing 1	hs|15q25.2
A_33_P3324680			
NR_003296	SNORD115-4	small nucleolar RNA, C/D box 115-4	hs|15q11.2
NM_004056	CA8	carbonic anhydrase VIII	hs|8q12.1
TCONS_00001550	XLOC_000893		hs|1p22.3
TCONS_l2_00030477	XLOC_l2_015716		hs|Xp11.3
AK097925	FLJ40606	uncharacterized LOC643549	hs|20q13.12
THC2496390	XLOC_002730		hs|3q11.2
DQ855000			
DQ459430			
AY660579	XLOC_008111		hs|Xp22.2
XR_110237	LOC283588	uncharacterized LOC283588	hs|14q32.11
TCONS_l2_00016575	XLOC_l2_008841		hs|20q11.22
NM_018698	NXT2	nuclear transport factor 2-like export factor 2	hs|Xq23
NM_148920	PIGQ	phosphatidylinositol glycan anchor biosynthesis, class Q	hs|16p13.3
NM_000181	GUSB	glucuronidase, beta	hs|7q11.21
XM_003403479	LOC100652741		hs|19q13.2
ENST00000331733			hs|17q21.31
NM_000299	PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	hs|1q32.1
AA928102	XLOC_008625		hs|10q25.3
NM_024320	PRR15L	proline rich 15-like	hs|17q21.32
NM_001013628	DCAF12L2	DDB1 and CUL4 associated factor 12-like 2	hs|Xq25
NM_004565	PEX14	peroxisomal biogenesis factor 14	hs|1p36.22
ENST00000492356	RPS21	ribosomal protein S21	hs|20q13.33
NM_016023	OTUD6B	OTU domain containing 6B	hs|8q21.3
TCONS_00014838	XLOC_006905		hs|8q23.3
A_33_P3320241			
NM_144962	PEBP4	phosphatidylethanolamine-binding protein 4	hs|8p21.3
BC046381	LOC439950	uncharacterized LOC439950	hs|10p14
TCONS_00026327	XLOC_012667		hs|18q21.1
NM_001243539	IL15RA	interleukin 15 receptor, alpha	hs|10p15.1
NR_002229	RPL23AP32	ribosomal protein L23a pseudogene 32	hs|2p16.2
NR_015361	LOC440896	uncharacterized LOC440896	hs|9q21.11
NM_004082	DCTN1	dynactin 1	hs|2p13.1
DB014480	XLOC_006166		hs|7q21.13
NM_078629	MSL3	male-specific lethal 3 homolog (Drosophila)	hs|Xp22.2
NM_001040118	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	hs|11q13.4
ENST00000376005			hs|1p36.21
AB385295			hs|11p11.2
A_33_P3297150			hs|2p25.1
NM_005532	IFI27	interferon, alpha-inducible protein 27	hs|14q32.12
NM_025134	CHD9	chromodomain helicase DNA binding protein 9	hs|16q12.2
NM_001170633	C12orf56	chromosome 12 open reading frame 56	hs|12q14.2
TCONS_00009151	XLOC_004135		hs|4q32.1
NM_002882	RANBP1	RAN binding protein 1	hs|22q11.21
NM_020722	KIAA1211	KIAA1211	hs|4q12
NM_198839	ACACA	acetyl-CoA carboxylase alpha	hs|17q12
E1A_r60_a107			
NM_018992	KCTD5	potassium channel tetramerisation domain containing 5	hs|16p13.3
NM_002538	OCLN	occludin	hs|5q13.2
A_24_P606663			hs|7p11.2
NM_018384	GIMAP5	GTPase, IMAP family member 5	hs|7q36.1
NM_144642	SYNPR	synaptoporin	hs|3p14.2
XR_109159	LOC100129119	uncharacterized LOC100129119	hs|15q24.1
A_33_P3350452			hs|16p13.11
NM_032221	CHD6	chromodomain helicase DNA binding protein 6	hs|20q12
NM_001008229	MOG	myelin oligodendrocyte glycoprotein	hs|6p22.1
AK127393	FLJ45482	uncharacterized LOC645566	
NM_001001821	OR2T34	olfactory receptor, family 2, subfamily T, member 34	hs|1q44
NM_014888	FAM3C	family with sequence similarity 3, member C	hs|7q31.31
NM_003826	NAPG	N-ethylmaleimide-sensitive factor attachment protein, gamma	hs|18p11.22
ENST00000389887	GLB1L3	galactosidase, beta 1-like 3	hs|11q25
TCONS_l2_00002836	XLOC_l2_001421		hs|10p15.3
NM_001977	ENPEP	glutamyl aminopeptidase (aminopeptidase A)	hs|4q25
NM_001017964	YDJC	YdjC homolog (bacterial)	hs|22q11.21
ETG08_142674			
TCONS_00012359	XLOC_005919		hs|6q27
NM_001190766	FLJ23152	uncharacterized LOC401236	hs|6p22.3
NR_024559	LOC100128977	uncharacterized LOC100128977	hs|17q21.31
ENST00000438659	XLOC_l2_008450		hs|2q35
NM_001172415	BAG1	BCL2-associated athanogene	hs|9p13.3
ENST00000503085	XLOC_003911		hs|4p15.2
NM_017707	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	hs|1p36.12
NM_144966	FREM1	FRAS1 related extracellular matrix 1	hs|9p22.3
NM_000698	ALOX5	arachidonate 5-lipoxygenase	hs|10q11.21
XM_001130287	LOC729454	destrin-like	hs|3p22.2
TCONS_00014579	XLOC_006689		hs|8p23.3
NM_005140	CNGA2	cyclic nucleotide gated channel alpha 2	hs|Xq28
XR_108704	KU-MEL-3	KU-MEL-3	hs|6p25.1
NM_001199054	C16orf5	chromosome 16 open reading frame 5	hs|16p13.3
NR_033834	FLJ31485	uncharacterized LOC440119	hs|12q24.33
TCONS_00017488	XLOC_008116		hs|Xp22.2
NM_018223	CHFR	checkpoint with forkhead and ring finger domains	hs|12q24.33
TCONS_00022726	XLOC_011006		hs|14q21.2
NM_001320	CSNK2B	casein kinase 2, beta polypeptide	hs|6p21.33
NM_201591	GPM6A	glycoprotein M6A	hs|4q34.2
ENST00000370606	ZIC3	Zic family member 3	hs|Xq26.3
TCONS_00017420	XLOC_007971		hs|Xp11.23
A_33_P3360227			hs|6q21
TCONS_00017503	XLOC_008151		hs|Xp11.3
NM_003779	B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	hs|1q23.3
TCONS_l2_00017601	XLOC_l2_009301		hs|22q11.21
XR_108646	LOC100505697	uncharacterized LOC100505697	hs|6p21.2
NM_016544	DNAJC27	DnaJ (Hsp40) homolog, subfamily C, member 27	hs|2p23.3
ENST00000419326	XLOC_006048		hs|7p14.2
NR_027053	LOC646214	p21 protein (Cdc42/Rac)-activated kinase 2 pseudogene	hs|15q11.2
NR_038289	LOC100507086	uncharacterized LOC100507086	hs|3q29
NM_024319	C1orf35	chromosome 1 open reading frame 35	hs|1q42.13
NR_002730	BRD7P3	bromodomain containing 7 pseudogene 3	hs|6q22.31
DQ875385			
NR_003297	SNORD115-5	small nucleolar RNA, C/D box 115-5	hs|15q11.2
NM_020312	COQ9	coenzyme Q9 homolog (S. cerevisiae)	hs|16q21
NM_019090	KIAA1383	KIAA1383	hs|1q42.2
E1A_r60_a135			
NM_153356	TBC1D21	TBC1 domain family, member 21	hs|15q24.1
DQ668367			
A_33_P3349501			hs|2p13.3
THC2630320	XLOC_l2_005517		hs|16q21
DQ516759			
NM_001085375	C1orf226	chromosome 1 open reading frame 226	hs|1q23.3
ENST00000521660	XLOC_006790		hs|8q11.21
NM_019071	ING3	inhibitor of growth family, member 3	hs|7q31.31
NM_001414	EIF2B1	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	hs|12q24.31
TCONS_l2_00000923	XLOC_l2_000696		hs|1q43
NM_198458	ZNF497	zinc finger protein 497	hs|19q13.43
NM_015653	RIBC2	RIB43A domain with coiled-coils 2	hs|22q13.31
BC033940	XLOC_012596		hs|17q25.3
THC2749976	XLOC_l2_001640		hs|10q22.2
NR_026899	LOC146880	Rho GTPase activating protein 27 pseudogene	hs|17q24.1
NM_015621	CCDC69	coiled-coil domain containing 69	hs|5q33.1
ENST00000427020	XLOC_002078		hs|2p21
DQ883671			
NM_001010912	C10orf120	chromosome 10 open reading frame 120	hs|10q26.13
NM_080861	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	hs|16p13.3
NM_000586	IL2	interleukin 2	hs|4q27
BX379759	LOC100507055	uncharacterized LOC100507055	hs|12q24.33
NM_017443	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	hs|9q32
ENST00000458254	XLOC_002402		hs|2q31.1
ENST00000488882	XLOC_003349		hs|3q26.33
NM_002079	GOT1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	hs|10q24.2
NM_001080533	UNC119B	unc-119 homolog B (C. elegans)	hs|12q24.31
NM_016509	CLEC1B	C-type lectin domain family 1, member B	hs|12p13.2
NR_003704	SNORA84	small nucleolar RNA, H/ACA box 84	hs|9q22.31
ENST00000455848	XLOC_010293		hs|13q12.11
ENST00000521821	LOC100652766		hs|6p12.1
BC035370	XLOC_l2_000941		hs|1p31.3
ENST00000502775	XLOC_003428		hs|4p16.3
ERCC-00104_60			
NM_021163	RBAK	RB-associated KRAB zinc finger	hs|7p22.1
NM_012449	STEAP1	six transmembrane epithelial antigen of the prostate 1	hs|7q21.13
NM_018328	MBD5	methyl-CpG binding domain protein 5	hs|2q23.1
NM_001199973	RPL36A-HNRNPH2	RPL36A-HNRNPH2 readthrough	hs|Xq22.1
TCONS_00011955	XLOC_005466		hs|6q23.2
TCONS_00014425	XLOC_006625		hs|7q34
EF011062			
TCONS_00029019	XLOC_013942		hs|21q22.2
DarkCorner			
NM_175736	FMNL3	formin-like 3	hs|12q13.12
NM_003846	PEX11B	peroxisomal biogenesis factor 11 beta	hs|1q21.1
NM_003370	VASP	vasodilator-stimulated phosphoprotein	hs|19q13.32
TCONS_00008880	XLOC_003677		hs|4q27
NM_001134408	GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A	hs|16p13.2
NM_022734	METTL17	methyltransferase like 17	hs|14q11.2
NM_016042	EXOSC3	exosome component 3	hs|9p13.2
DQ883661			
NM_013254	TBK1	TANK-binding kinase 1	hs|12q14.2
TCONS_00001917	XLOC_000022		hs|1p36.32
A_33_P3249837			hs|3q13.12
NM_004235	KLF4	Kruppel-like factor 4 (gut)	hs|9q31.2
A_33_P3255824			hs|Yq11.21
NM_007350	PHLDA1	pleckstrin homology-like domain, family A, member 1	hs|12q21.2
NM_020536	CSRP2BP	CSRP2 binding protein	hs|20p11.23
NM_018013	SOBP	sine oculis binding protein homolog (Drosophila)	hs|6q21
EF011072			
NM_001242901	LOC100131094	uncharacterized LOC100131094	hs|19p13.3
NM_001817	CEACAM4	carcinoembryonic antigen-related cell adhesion molecule 4	hs|19q13.2
THC2662800	XLOC_008770		hs|10p11.23
NM_004622	TSN	translin	hs|2q14.3
ENST00000423187	XLOC_000869		hs|1p31.1
NR_027390	POLR2M	polymerase (RNA) II (DNA directed) polypeptide M	hs|15q21.3
DW419002	RNU4ATAC	RNA, U4atac small nuclear (U12-dependent splicing)	hs|2q14.2
NR_002579	SNORD74	small nucleolar RNA, C/D box 74	hs|1q25.1
NM_000817	GAD1	glutamate decarboxylase 1 (brain, 67kDa)	hs|2q31.1
A_33_P3328289			
NM_020436	SALL4	sal-like 4 (Drosophila)	hs|20q13.2
ENST00000427173	XLOC_000473		hs|1q25.2
NM_002658	PLAU	plasminogen activator, urokinase	hs|10q22.2
